deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,detector_memory_max,std,735681.9659303876,5
cloud_only,fault_alternate,detector_memory_max,p95,222166220.8,5
cloud_only,fault_alternate,detector_memory_max,min,220696576.0,5
cloud_only,fault_alternate,detector_memory_max,max,222167040.0,5
cloud_only,fault_alternate,detector_memory_mean,count,5,5
cloud_only,fault_alternate,detector_memory_mean,mean,220615874.32079923,5
cloud_only,fault_alternate,detector_memory_mean,median,220662278.48101267,5
cloud_only,fault_alternate,detector_memory_mean,std,106519.13992578702,5
cloud_only,fault_alternate,detector_memory_mean,p95,220671907.59809723,5
cloud_only,fault_alternate,detector_memory_mean,min,220425960.72727272,5
cloud_only,fault_alternate,detector_memory_mean,max,220672725.87341774,5
cloud_only,fault_alternate,detector_memory_median,count,5,5
cloud_only,fault_alternate,detector_memory_median,mean,220606873.6,5
cloud_only,fault_alternate,detector_memory_median,median,220657664.0,5
cloud_only,fault_alternate,detector_memory_median,std,108798.73505147015,5
cloud_only,fault_alternate,detector_memory_median,p95,220667084.8,5
cloud_only,fault_alternate,detector_memory_median,min,220413952.0,5
cloud_only,fault_alternate,detector_memory_median,max,220667904.0,5
cloud_only,fault_alternate,detector_memory_min,count,5,5
cloud_only,fault_alternate,detector_memory_min,mean,220338585.6,5
cloud_only,fault_alternate,detector_memory_min,median,220348416.0,5
cloud_only,fault_alternate,detector_memory_min,std,44172.27887261421,5
cloud_only,fault_alternate,detector_memory_min,p95,220379545.6,5
cloud_only,fault_alternate,detector_memory_min,min,220266496.0,5
cloud_only,fault_alternate,detector_memory_min,max,220385280.0,5
cloud_only,fault_alternate,detector_memory_p95,count,5,5
cloud_only,fault_alternate,detector_memory_p95,mean,220801269.76,5
cloud_only,fault_alternate,detector_memory_p95,median,220831744.0,5
cloud_only,fault_alternate,detector_memory_p95,std,68932.0718722987,5
cloud_only,fault_alternate,detector_memory_p95,p95,220839608.32,5
cloud_only,fault_alternate,detector_memory_p95,min,220678758.4,5
cloud_only,fault_alternate,detector_memory_p95,max,220840550.4,5
cloud_only,fault_alternate,detector_memory_std,count,5,5
cloud_only,fault_alternate,detector_memory_std,mean,138682.54275515064,5
cloud_only,fault_alternate,detector_memory_std,median,129171.22389849817,5
cloud_only,fault_alternate,detector_memory_std,std,34139.19989169509,5
cloud_only,fault_alternate,detector_memory_std,p95,176578.60181415395,5
cloud_only,fault_alternate,detector_memory_std,min,102912.70816917894,5
cloud_only,fault_alternate,detector_memory_std,max,177941.65270119766,5
cloud_only,fault_alternate,detector_processing_ms_count,count,5,5
cloud_only,fault_alternate,detector_processing_ms_count,mean,70.4,5
cloud_only,fault_alternate,detector_processing_ms_count,median,77.0,5
cloud_only,fault_alternate,detector_processing_ms_count,std,17.7426040929735,5
cloud_only,fault_alternate,detector_processing_ms_count,p95,81.4,5
cloud_only,fault_alternate,detector_processing_ms_count,min,39.0,5
cloud_only,fault_alternate,detector_processing_ms_count,max,82.0,5
cloud_only,fault_alternate,detector_processing_ms_max,count,5,5
cloud_only,fault_alternate,detector_processing_ms_max,mean,101.16081237792969,5
cloud_only,fault_alternate,detector_processing_ms_max,median,101.09066963195801,5
cloud_only,fault_alternate,detector_processing_ms_max,std,0.3284118957264912,5
cloud_only,fault_alternate,detector_processing_ms_max,p95,101.50527954101562,5
cloud_only,fault_alternate,detector_processing_ms_max,min,100.70967674255371,5
cloud_only,fault_alternate,detector_processing_ms_max,max,101.52125358581543,5
cloud_only,fault_alternate,detector_processing_ms_mean,count,5,5
cloud_only,fault_alternate,detector_processing_ms_mean,mean,50.12256569543884,5
cloud_only,fault_alternate,detector_processing_ms_mean,median,51.551806131998696,5
cloud_only,fault_alternate,detector_processing_ms_mean,std,3.458911657739311,5
cloud_only,fault_alternate,detector_processing_ms_mean,p95,52.35935292294653,5
